Credit: http://books.google.com/books?id=XWSc3b_gkX8C&pg=PA47&hl=en
Trial,Testing?,Seconds,WPM,AdjWPM,CPS,KSPS,MSD,KSPC,UncErrRate,CorErrRate,TotErrRate,Effic,Consc,UtilBand,WasteBand,|C|,|INF|,|IF|,|F|,|P|,|T|,|IS|
14,1,27.149,11.9341412206711,9.37682524481302,0.994511768389259,0.994511768389259,6,1,0.214285714285714,0,0.214285714285714,1,0,0.785714285714286,0.214285714285714,22,6,0,0,28,28,28
15,1,77.408,4.96072757337743,4.42443270057987,0.413393964448119,0.516742455560149,4,1.24242424242424,0.108108108108108,0.108108108108108,0.216216216216216,1,0.5,0.707317073170732,0.292682926829268,29,4,4,4,33,33,41
16,1,42.693,7.87014264633547,7.08312838170192,0.655845220527955,0.655845220527955,3,1,0.1,0,0.1,1,0,0.9,0.1,27,3,0,0,30,29,29
17,1,37.425,8.65731462925852,6.49298597194389,0.721442885771543,0.721442885771543,8,1,0.25,0,0.25,1,0,0.75,0.25,24,8,0,0,32,28,28
18,1,38.976,8.92857142857143,7.20046082949309,0.744047619047619,0.795361247947455,6,1.06666666666667,0.193548387096774,0.032258064516129,0.225806451612903,1,0.142857142857143,0.75,0.25,24,6,1,1,30,30,32
19,1,36.226,10.6001214597251,8.41774351213461,0.883343454977088,0.938552420913156,7,1.06060606060606,0.205882352941176,0.0294117647058824,0.235294117647059,1,0.125,0.742857142857143,0.257142857142857,26,7,1,1,33,33,35
20,1,24.56,12.2149837133551,9.86594838386369,1.01791530944625,1.01791530944625,5,1,0.192307692307692,0,0.192307692307692,1,0,0.807692307692308,0.192307692307692,21,5,0,0,26,26,26
21,1,31.35,11.1004784688995,9.25039872408294,0.925039872408293,0.925039872408293,5,1,0.166666666666667,0,0.166666666666667,1,0,0.833333333333333,0.166666666666667,25,5,0,0,30,30,30
22,1,37.6,8.61702127659574,7.13132795304475,0.718085106382979,0.718085106382979,5,1,0.172413793103448,0,0.172413793103448,1,0,0.827586206896552,0.172413793103448,24,5,0,0,29,28,28
23,1,40.601,8.57121745769809,7.14268121474841,0.714268121474841,0.714268121474841,5,1,0.166666666666667,0,0.166666666666667,1,0,0.833333333333333,0.166666666666667,25,5,0,0,30,30,30
24,1,22.886,11.0110984881587,9.63471117713886,0.917591540679892,1.09237088176178,3,1.18181818181818,0.125,0.0833333333333333,0.208333333333333,1,0.4,0.730769230769231,0.269230769230769,19,3,2,2,22,22,26
25,1,32.041,8.23944321338285,6.80649656757714,0.686620267781905,0.686620267781905,4,1,0.173913043478261,0,0.173913043478261,1,0,0.826086956521739,0.173913043478261,19,4,0,0,23,23,23
26,1,20.279,11.2431579466443,9.1016040520454,0.936929828887026,1.03555402140145,4,1.1,0.19047619047619,0.0476190476190476,0.238095238095238,1,0.2,0.727272727272727,0.272727272727273,16,4,1,1,20,20,22
27,1,29.466,11.4029729179393,9.43694310450151,0.95024774316161,0.95024774316161,5,1,0.172413793103448,0,0.172413793103448,1,0,0.827586206896552,0.172413793103448,24,5,0,0,29,29,29
28,1,32.679,11.0162489672267,8.56819364117629,0.918020747268888,1.04042351357141,8,1.12903225806452,0.222222222222222,0.0555555555555556,0.277777777777778,1,0.2,0.684210526315789,0.315789473684211,26,8,2,2,34,31,35
29,1,27.978,8.14926013296161,6.37768184318735,0.679105011080134,0.75058974908857,5,1.1,0.217391304347826,0.0434782608695652,0.260869565217391,1,0.166666666666667,0.708333333333333,0.291666666666667,17,5,1,1,22,20,22
30,1,42.793,8.41259084429696,7.21079215225454,0.701049237024747,0.887995700231346,5,1.25806451612903,0.142857142857143,0.114285714285714,0.257142857142857,1,0.444444444444444,0.666666666666667,0.333333333333333,26,5,4,4,30,31,39
31,1,19.783,14.5579537987161,11.6463630389729,1.21316281655967,1.21316281655967,5,1,0.2,0,0.2,1,0,0.8,0.2,20,5,0,0,24,25,25
32,1,40.082,8.382815228781,7.30116165087377,0.69856793573175,0.748465645426875,4,1.06896551724138,0.129032258064516,0.032258064516129,0.161290322580645,1,0.2,0.8125,0.1875,26,4,1,1,30,29,31
33,1,24.278,8.89694373506879,7.49216314532108,0.741411977922399,0.741411977922399,3,1,0.157894736842105,0,0.157894736842105,1,0,0.842105263157895,0.157894736842105,16,3,0,0,19,19,19
34,1,19.585,9.19070717385755,7.56881767258857,0.765892264488129,0.868011233086546,3,1.125,0.176470588235294,0.0588235294117647,0.235294117647059,1,0.25,0.722222222222222,0.277777777777778,13,3,1,1,16,16,18
35,1,14.374,15.0271323222485,12.6544272187356,1.25226102685404,1.25226102685404,3,1,0.157894736842105,0,0.157894736842105,1,0,0.842105263157895,0.157894736842105,16,3,0,0,19,19,19
36,1,29.621,6.48188784983627,4.8614158873772,0.540157320819689,0.742716316127072,5,1.35294117647059,0.25,0.15,0.4,1,0.375,0.521739130434783,0.478260869565217,12,5,3,3,17,17,23
37,1,28.196,8.51184565186551,7.03152466893238,0.709320470988793,0.851184565186551,4,1.19047619047619,0.173913043478261,0.0869565217391304,0.260869565217391,1,0.333333333333333,0.68,0.32,17,4,2,2,21,21,25
38,1,20.967,12.0188868221491,9.4060853390732,1.00157390184576,1.09696189249773,5,1.09090909090909,0.217391304347826,0.0434782608695652,0.260869565217391,1,0.166666666666667,0.708333333333333,0.291666666666667,17,5,1,1,22,22,24
39,1,31.665,9.47418285172904,8.01661625915534,0.789515237644087,0.789515237644087,4,1,0.153846153846154,0,0.153846153846154,1,0,0.846153846153846,0.153846153846154,22,4,0,0,26,26,26
40,1,21.198,11.321822813473,9.16528513471621,0.943485234456081,0.943485234456081,4,1,0.19047619047619,0,0.19047619047619,1,0,0.80952380952381,0.19047619047619,17,4,0,0,21,21,21
41,1,20.202,12.4740124740125,9.63900963900964,1.03950103950104,1.03950103950104,5,1,0.227272727272727,0,0.227272727272727,1,0,0.772727272727273,0.227272727272727,17,5,0,0,22,22,22
42,1,18.027,12.6476951239807,10.1181560991846,1.05397459366506,1.05397459366506,4,1,0.2,0,0.2,1,0,0.8,0.2,16,4,0,0,20,20,20
43,1,21.728,12.1502209131075,10.1251840942563,1.01251840942563,1.10456553755523,4,1.08695652173913,0.166666666666667,0.0416666666666667,0.208333333333333,1,0.2,0.76,0.24,19,4,1,1,23,23,25
44,1,28.928,10.3705752212389,7.97736555479918,0.864214601769911,0.864214601769911,6,1,0.230769230769231,0,0.230769230769231,1,0,0.769230769230769,0.230769230769231,20,6,0,0,26,26,26
45,1,17.411,15.8520475561427,12.8035768722691,1.32100396301189,1.55074378266613,5,1.16666666666667,0.192307692307692,0.0769230769230769,0.269230769230769,1,0.285714285714286,0.678571428571429,0.321428571428571,19,5,2,2,24,24,28
